OrderedDict({'bootstrap': False, 'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.569603025048803
OrderedDict({'bootstrap': False, 'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}) - -13.541280763633356
OrderedDict({'bootstrap': False, 'max_depth': 38, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.540748169905495
OrderedDict({'bootstrap': False, 'max_depth': 31, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.606864446681428
OrderedDict({'bootstrap': False, 'max_depth': 75, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 100}) - -13.623095806167012
OrderedDict({'bootstrap': False, 'max_depth': 39, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.538485501210065
OrderedDict({'bootstrap': False, 'max_depth': 38, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.562994742799685
OrderedDict({'bootstrap': False, 'max_depth': 39, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}) - -13.606050053205038
OrderedDict({'bootstrap': False, 'max_depth': 36, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 1000}) - -13.67165791830384
OrderedDict({'bootstrap': False, 'max_depth': 42, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.583849714826268
OrderedDict({'bootstrap': False, 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.557944978515078
OrderedDict({'bootstrap': False, 'max_depth': 33, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.694007940971783
OrderedDict({'bootstrap': False, 'max_depth': 44, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.541313727556911
OrderedDict({'bootstrap': True, 'max_depth': 69, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 575}) - -13.874336204438027
OrderedDict({'bootstrap': False, 'max_depth': 44, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}) - -13.5684514630953
OrderedDict({'bootstrap': False, 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}) - -13.619210433459747
OrderedDict({'bootstrap': False, 'max_depth': 44, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.57840049862256
OrderedDict({'bootstrap': False, 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.56663992450082
OrderedDict({'bootstrap': False, 'max_depth': 75, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.573979790632958
OrderedDict({'bootstrap': False, 'max_depth': 34, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 18, 'n_estimators': 907}) - -13.644505762868548
OrderedDict({'bootstrap': False, 'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.560225854176162
OrderedDict({'bootstrap': False, 'max_depth': 43, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.553427093151878
OrderedDict({'bootstrap': False, 'max_depth': 73, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.578042971959482
OrderedDict({'bootstrap': False, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}) - -13.569834894465817
OrderedDict({'bootstrap': False, 'max_depth': 43, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}) - -13.615608428060446
OrderedDict({'bootstrap': False, 'max_depth': 29, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.509066321156386
OrderedDict({'bootstrap': False, 'max_depth': 29, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.568637416875436
OrderedDict({'bootstrap': False, 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.547984369100195
OrderedDict({'bootstrap': False, 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 679}) - -13.592738835411051
OrderedDict({'bootstrap': False, 'max_depth': 26, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.561910868005588
OrderedDict({'bootstrap': False, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.539969260457033
OrderedDict({'bootstrap': False, 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}) - -13.683450671212217
OrderedDict({'bootstrap': False, 'max_depth': 100, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.65079249964317
OrderedDict({'bootstrap': False, 'max_depth': 32, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.584022349206748
OrderedDict({'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 955}) - -13.571173030785994
OrderedDict({'bootstrap': False, 'max_depth': 24, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.607310443603826
OrderedDict({'bootstrap': False, 'max_depth': 94, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.567396321502306
OrderedDict({'bootstrap': False, 'max_depth': 87, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 983}) - -13.569491285967999
OrderedDict({'bootstrap': False, 'max_depth': 78, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 900}) - -13.602876354042607
OrderedDict({'bootstrap': True, 'max_depth': 99, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 619}) - -13.747870178370187
OrderedDict({'bootstrap': False, 'max_depth': 51, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 3, 'n_estimators': 783}) - -13.76285562492571
OrderedDict({'bootstrap': False, 'max_depth': 29, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}) - -13.598508136612262
OrderedDict({'bootstrap': False, 'max_depth': 49, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 969}) - -13.533515914400038
OrderedDict({'bootstrap': False, 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 917}) - -13.591407598300677
OrderedDict({'bootstrap': False, 'max_depth': 49, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 19, 'n_estimators': 910}) - -13.648238402803432
