OrderedDict({'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}) - -15.681278255528259
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'uniform'}) - -14.749967669689894
OrderedDict({'n_neighbors': 40, 'p': 2, 'weights': 'distance'}) - -15.81903877234188
OrderedDict({'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}) - -14.281605298480297
OrderedDict({'n_neighbors': 17, 'p': 1, 'weights': 'distance'}) - -14.217549272419358
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'distance'}) - -14.354208579145913
OrderedDict({'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}) - -16.932537082537078
OrderedDict({'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}) - -15.646237052560583
OrderedDict({'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}) - -15.646237052560583
OrderedDict({'n_neighbors': 49, 'p': 2, 'weights': 'uniform'}) - -15.80517477588906
OrderedDict({'n_neighbors': 32, 'p': 1, 'weights': 'uniform'}) - -14.874312636500136
OrderedDict({'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}) - -14.281605298480297
OrderedDict({'n_neighbors': 48, 'p': 2, 'weights': 'uniform'}) - -15.815829437391937
OrderedDict({'n_neighbors': 46, 'p': 1, 'weights': 'uniform'}) - -15.085231961210223
OrderedDict({'n_neighbors': 27, 'p': 2, 'weights': 'distance'}) - -15.75653852798222
OrderedDict({'n_neighbors': 47, 'p': 2, 'weights': 'distance'}) - -15.833123082694868
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}) - -15.00314086814087
OrderedDict({'n_neighbors': 28, 'p': 2, 'weights': 'uniform'}) - -15.81437053937054
OrderedDict({'n_neighbors': 17, 'p': 2, 'weights': 'distance'}) - -15.677383899447241
OrderedDict({'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}) - -14.267128037128037
OrderedDict({'n_neighbors': 34, 'p': 1, 'weights': 'distance'}) - -14.493211010665913
OrderedDict({'n_neighbors': 11, 'p': 2, 'weights': 'distance'}) - -15.82852690453063
OrderedDict({'n_neighbors': 5, 'p': 2, 'weights': 'distance'}) - -16.2900548734246
OrderedDict({'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}) - -15.00314086814087
OrderedDict({'n_neighbors': 22, 'p': 2, 'weights': 'distance'}) - -15.755440028869913
OrderedDict({'n_neighbors': 50, 'p': 2, 'weights': 'distance'}) - -15.829019911356587
OrderedDict({'n_neighbors': 27, 'p': 2, 'weights': 'uniform'}) - -15.731223243445465
