OrderedDict({'colsample_bytree': 0.9867525013184623, 'learning_rate': 0.020563279731294744, 'max_depth': 9, 'n_estimators': 622, 'subsample': 0.9034809302261064}) - -13.036621271191223
OrderedDict({'colsample_bytree': 0.98075371630258, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 4257, 'subsample': 0.6541631760469855}) - -12.92597205094096
OrderedDict({'colsample_bytree': 0.8016091018718813, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 641, 'subsample': 0.6}) - -12.870489643215643
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 477, 'subsample': 0.6}) - -12.916258319679779
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 641, 'subsample': 0.6}) - -12.91165666017837
OrderedDict({'colsample_bytree': 0.9095547480561623, 'learning_rate': 0.01961293323384378, 'max_depth': 7, 'n_estimators': 3660, 'subsample': 0.6004604530284191}) - -12.910540481961036
OrderedDict({'colsample_bytree': 0.975184169015008, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 4092, 'subsample': 0.6}) - -12.954643329289192
OrderedDict({'colsample_bytree': 0.8545447676096425, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 755, 'subsample': 0.6}) - -12.918533922284476
OrderedDict({'colsample_bytree': 0.7762807358309345, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 446, 'subsample': 0.6}) - -12.867626326839812
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 3423, 'subsample': 0.6}) - -12.9407854397623
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 492, 'subsample': 0.6}) - -12.821240859176172
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01060920741756891, 'max_depth': 5, 'n_estimators': 310, 'subsample': 0.6}) - -12.923685275287927
