OrderedDict({'C': 1.0628472992556106, 'epsilon': 0.9992988319360346, 'gamma': 0.33302691197057005, 'kernel': 'poly'}) - -14.84138558209562
OrderedDict({'C': 64.81460156463694, 'epsilon': 0.001, 'gamma': 0.11671852739658647, 'kernel': 'linear'}) - -14.666642002004417
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.245109476512304, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 19.344011108636955, 'epsilon': 0.001, 'gamma': 0.168148737593699, 'kernel': 'linear'}) - -14.622294576654365
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.630493650653794, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 30.242199074878705, 'epsilon': 0.0190222869393909, 'gamma': 10.0, 'kernel': 'linear'}) - -14.605370208100487
OrderedDict({'C': 29.450135191549876, 'epsilon': 0.008807573755144476, 'gamma': 10.0, 'kernel': 'linear'}) - -14.603417908484138
OrderedDict({'C': 100.0, 'epsilon': 0.04267174871416972, 'gamma': 0.01, 'kernel': 'linear'}) - -14.662218962500607
OrderedDict({'C': 12.942783286666376, 'epsilon': 0.8119085685807345, 'gamma': 0.01, 'kernel': 'linear'}) - -14.650255136667136
OrderedDict({'C': 100.0, 'epsilon': 0.9226115736415501, 'gamma': 10.0, 'kernel': 'linear'}) - -14.619779424868506
OrderedDict({'C': 24.385100736929825, 'epsilon': 0.001, 'gamma': 0.31218703003254517, 'kernel': 'linear'}) - -14.611998409718424
OrderedDict({'C': 100.0, 'epsilon': 0.8575729955032461, 'gamma': 0.01, 'kernel': 'linear'}) - -14.615104213398396
OrderedDict({'C': 100.0, 'epsilon': 0.6715414518758501, 'gamma': 0.10936552710780259, 'kernel': 'poly'}) - -15.246605266807151
OrderedDict({'C': 100.0, 'epsilon': 0.7931078183073907, 'gamma': 0.01, 'kernel': 'linear'}) - -14.610863074737136
OrderedDict({'C': 27.154929245980156, 'epsilon': 1.0, 'gamma': 0.02009976510374143, 'kernel': 'linear'}) - -14.63020633820351
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.010310738271808973, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 23.447279983496028, 'epsilon': 0.001, 'gamma': 0.2615465561334015, 'kernel': 'linear'}) - -14.612530448945426
OrderedDict({'C': 100.0, 'epsilon': 0.7324968228450746, 'gamma': 0.01, 'kernel': 'linear'}) - -14.608882183959292
OrderedDict({'C': 58.187811584019734, 'epsilon': 0.7345860445160014, 'gamma': 0.01, 'kernel': 'linear'}) - -14.625547849162961
OrderedDict({'C': 32.65623749782824, 'epsilon': 1.0, 'gamma': 0.31226815769063737, 'kernel': 'linear'}) - -14.632365679880294
OrderedDict({'C': 100.0, 'epsilon': 0.668029476242169, 'gamma': 0.01, 'kernel': 'linear'}) - -14.610827087309838
OrderedDict({'C': 24.226859472765877, 'epsilon': 0.3336598969674199, 'gamma': 0.038547962678178456, 'kernel': 'linear'}) - -14.63202082424473
OrderedDict({'C': 31.236286882610578, 'epsilon': 0.001, 'gamma': 0.048034170110812055, 'kernel': 'linear'}) - -14.604665522800147
OrderedDict({'C': 20.845503343001365, 'epsilon': 1.0, 'gamma': 0.16224863241235646, 'kernel': 'linear'}) - -14.623741411163284
OrderedDict({'C': 27.43146868152206, 'epsilon': 0.001, 'gamma': 0.5337160859383144, 'kernel': 'linear'}) - -14.603699071026242
OrderedDict({'C': 49.280990418641146, 'epsilon': 0.4040460362195238, 'gamma': 0.01, 'kernel': 'linear'}) - -14.634859015862698
OrderedDict({'C': 14.475169865152898, 'epsilon': 0.001, 'gamma': 0.4544631583350377, 'kernel': 'linear'}) - -14.663948103181934
OrderedDict({'C': 35.475661946040155, 'epsilon': 0.001, 'gamma': 0.6600818294718164, 'kernel': 'linear'}) - -14.612108714074049
OrderedDict({'C': 39.034835229337986, 'epsilon': 0.001, 'gamma': 0.4725748764149522, 'kernel': 'linear'}) - -14.616898944773775
OrderedDict({'C': 60.22619863552967, 'epsilon': 0.3020096926283723, 'gamma': 0.01, 'kernel': 'linear'}) - -14.656463519667515
OrderedDict({'C': 0.04921655833333659, 'epsilon': 1.0, 'gamma': 0.7160056377246978, 'kernel': 'poly'}) - -14.961189440419579
OrderedDict({'C': 63.220761860862616, 'epsilon': 0.001, 'gamma': 10.0, 'kernel': 'linear'}) - -14.664415593491805
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 4.223803600438441, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 44.48537011813035, 'epsilon': 0.5661173277365136, 'gamma': 0.01, 'kernel': 'linear'}) - -14.628084844865
OrderedDict({'C': 20.2637387597647, 'epsilon': 0.001, 'gamma': 10.0, 'kernel': 'linear'}) - -14.619001103116588
OrderedDict({'C': 100.0, 'epsilon': 0.5598872023659359, 'gamma': 0.01, 'kernel': 'linear'}) - -14.613828891125163
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.06699344406534594, 'kernel': 'poly'}) - -14.842939392126919
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 3.4220595308171466, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 2.504197500009995, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 19.73004361888625, 'epsilon': 0.44412295727495565, 'gamma': 0.2370059233967153, 'kernel': 'linear'}) - -14.627971907334938
