iter	RMSE
0	19.97242491
1	19.88779914
2	19.80118093
3	19.71376286
4	19.62258682
5	19.55753237
6	19.48981754
7	19.40158066
8	19.32458967
9	19.261639
10	19.19959494
11	19.1200389
12	19.05133821
13	18.98868773
14	18.90421531
15	18.8408917
16	18.78341529
17	18.69908015
18	18.63931685
19	18.5872692
20	18.52660385
21	18.44599195
22	18.37099963
23	18.31278328
24	18.25174455
25	18.19625641
26	18.15312019
27	18.0997588
28	18.03563083
29	17.96392866
30	17.91690372
31	17.86473667
32	17.81165289
33	17.7581175
34	17.70468338
35	17.66552862
36	17.60793732
37	17.55452551
38	17.51394828
39	17.45900764
40	17.42245607
41	17.36517838
42	17.32529058
43	17.28582726
44	17.24689999
45	17.21434496
46	17.18074571
47	17.13944298
48	17.07685674
49	17.0357863
50	16.99599747
51	16.94844742
52	16.89256442
53	16.85737602
54	16.82259362
55	16.78192972
56	16.74955184
57	16.71062767
58	16.67020268
59	16.63279218
60	16.60582178
61	16.58054723
62	16.55258041
63	16.51927395
64	16.4744834
65	16.44086583
66	16.40977258
67	16.37865723
68	16.34969438
69	16.32443568
70	16.28820137
71	16.26345054
72	16.24105686
73	16.21527782
74	16.18718253
75	16.1491447
76	16.12070716
77	16.08906389
78	16.0602584
79	16.03970056
80	16.01918444
81	15.99044873
82	15.96623326
83	15.93844117
84	15.90817751
85	15.87950685
86	15.84776518
87	15.82399273
88	15.79607395
89	15.76608822
90	15.74210256
91	15.72471917
92	15.69562709
93	15.67288491
94	15.65729903
95	15.63715038
96	15.6224446
97	15.5981926
98	15.57459576
99	15.55575668
100	15.53576879
101	15.51867937
102	15.50167889
103	15.48362864
104	15.46320749
105	15.43783489
106	15.41869146
107	15.39710156
108	15.37780084
109	15.3647583
110	15.34187246
111	15.32141135
112	15.30186835
113	15.28787441
114	15.27209787
115	15.24867703
116	15.23073296
117	15.21340532
118	15.19194626
119	15.16978943
120	15.14674749
121	15.12755133
122	15.113027
123	15.09169954
124	15.07578372
125	15.05504038
126	15.04403314
127	15.03001357
128	15.01744194
129	15.00043204
130	14.98574307
131	14.97021813
132	14.95837851
133	14.9441985
134	14.9291368
135	14.9156072
136	14.89726802
137	14.88319579
138	14.86362968
139	14.84932712
140	14.83038804
141	14.81073179
142	14.79220756
143	14.77826443
144	14.76326779
145	14.74634851
146	14.73504148
147	14.71563104
148	14.69785178
149	14.67876305
150	14.66530877
151	14.65311791
152	14.63378296
153	14.62031061
154	14.60054983
155	14.58278655
156	14.56903066
157	14.55575021
158	14.53748168
159	14.5220966
160	14.51319287
161	14.5010693
162	14.48822087
163	14.47277888
164	14.45917832
165	14.44724169
166	14.43332153
167	14.41767866
168	14.40531546
169	14.39369455
170	14.38016558
171	14.36808653
172	14.35416162
173	14.34051643
174	14.32996364
175	14.31444297
176	14.30088438
177	14.28625176
178	14.27104606
179	14.25850532
180	14.24365705
181	14.2286282
182	14.21104257
183	14.20049063
184	14.19100774
185	14.17706986
186	14.16571711
187	14.15338267
188	14.14520353
189	14.13323333
190	14.11996621
191	14.10761651
192	14.09626749
193	14.08409189
194	14.07233778
195	14.05977406
196	14.05005368
197	14.03592683
198	14.02275684
199	14.01052056
200	13.99901493
201	13.99022163
202	13.97883286
203	13.96593805
204	13.95139155
205	13.94072831
